time,open,high,low,close,volume
2025-05-30T04:00:00.000Z,21371.25,21433.5,21071.5,21376.75,551092
2025-06-02T04:00:00.000Z,21303.75,21576.25,21163,21534.5,434593
2025-06-03T04:00:00.000Z,21555,21759.75,21399.25,21706,427859
2025-06-04T04:00:00.000Z,21688.25,21803,21641,21766.5,403012
2025-06-05T04:00:00.000Z,21744.75,21935,21503.5,21582.25,0
2025-06-06T04:00:00.000Z,21471,21873.5,21471,21789.5,466591
2025-06-09T04:00:00.000Z,21799.25,21890.75,21716,21821.5,354827
2025-06-10T04:00:00.000Z,21824,21992.25,21732,21962.5,439539
2025-06-11T04:00:00.000Z,21945.75,22106,21790.75,21887.5,523556
2025-06-12T04:00:00.000Z,21871,21977.25,21713.25,21932.5,397839
2025-06-13T04:00:00.000Z,21909,21915.75,21471,21644.25,556189
2025-06-16T04:00:00.000Z,21554,21999.5,21501.75,21941.5,336301
2025-06-17T04:00:00.000Z,21950,21952,21685,21730.5,173026
2025-06-18T04:00:00.000Z,21705,21872.5,21640.5,21720.25,0
2025-06-20T04:00:00.000Z,21731,21896.5,21435.5,21889.890625,649884
2025-06-23T04:00:00.000Z,21648.25,22093,21566.75,22073.5,549766
2025-06-24T04:00:00.000Z,22079,22448.25,22065.75,22412.75,447975
2025-06-25T04:00:00.000Z,22412,22548.25,22384.5,22461,397611
2025-06-26T04:00:00.000Z,22461.25,22694,22437.75,22669.25,422397
2025-06-27T04:00:00.000Z,22676.25,22825.5,22600,22751.5,487835
2025-06-30T04:00:00.000Z,22751.5,22934.75,22751.5,22893.25,434250
2025-07-01T04:00:00.000Z,22867.5,22914.75,22594.5,22692.75,495079
2025-07-02T04:00:00.000Z,22694.5,22858.75,22582,22843,408882
2025-07-03T13:30:00.000Z,22845,23102.5,22827,23062.5,0
2025-07-04T04:00:00.000Z,23059.25,23062.5,22882,22906.75,0
2025-07-07T04:00:00.000Z,22970,23028.5,22779.75,22884.75,537930
2025-07-08T04:00:00.000Z,22837.75,22972.75,22808.5,22896.75,420913
2025-07-09T04:00:00.000Z,22906.5,23112,22843.5,23052.75,450523
2025-07-10T04:00:00.000Z,23041,23090,22901.25,23013.25,391782
2025-07-11T04:00:00.000Z,23011.75,23048.75,22831.5,22959,461057
2025-07-14T04:00:00.000Z,22860.75,23066.5,22803,23035.5,414465
2025-07-15T04:00:00.000Z,23034.25,23222.75,22996,23056.75,524056
2025-07-16T04:00:00.000Z,23018.75,23100,22835.5,23076.5,548602
2025-07-17T04:00:00.000Z,23065.5,23279.75,23017,23251,445290
2025-07-18T04:00:00.000Z,23261.25,23320.75,23169.5,23224.25,450704
2025-07-21T04:00:00.000Z,23232.5,23424.75,23203.75,23342,398833
